Timestamp,Event,Count,Monitoring_Active
2024-12-18 09:00:57,Decrement,0,False
2024-12-18 09:00:57,Increment,1,False
2024-12-18 09:00:58,Decrement,0,False
2024-12-18 09:00:59,Increment,1,False
2024-12-18 09:00:59,Decrement,0,False
2024-12-18 09:01:00,Increment,1,False
2024-12-18 09:01:01,Decrement,0,False
2024-12-18 09:01:01,Decrement,0,False
2024-12-18 09:01:02,Decrement,0,False
2024-12-18 09:01:02,Increment,1,False
2024-12-18 09:01:02,Increment,2,False
2024-12-18 09:01:02,Decrement,1,False
2024-12-18 09:01:03,Decrement,0,False
2024-12-18 09:01:03,Decrement,0,False
2024-12-18 09:01:03,Increment,1,False
2024-12-18 09:01:04,Increment,2,False
2024-12-18 09:01:08,Increment,3,False
2024-12-18 09:01:08,Decrement,2,False
2024-12-18 09:01:08,Increment,3,False
2024-12-18 09:01:09,Decrement,2,False
2024-12-18 09:01:10,Increment,3,False
2024-12-18 09:01:10,Decrement,2,False
2024-12-18 09:01:10,Increment,3,False
2024-12-18 09:01:11,Decrement,2,False
2024-12-18 09:01:11,Increment,3,False
2024-12-18 09:01:12,Decrement,2,False
2024-12-18 09:01:13,Decrement,1,False
2024-12-18 09:01:13,Increment,2,False
2024-12-18 09:01:13,Decrement,1,False
2024-12-18 09:01:14,Decrement,0,False
2024-12-18 09:01:15,Decrement,0,False
2024-12-18 09:34:58,Increment,1,False
2024-12-18 09:34:59,Decrement,0,False
2024-12-18 09:34:59,Increment,1,False
2024-12-18 09:35:00,Decrement,0,False
